form	lemma	POS	morph
Apostolatum	apostolatus	NOMpro	Case=Acc|Numb=Sing
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
cõmendet	comendo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
vt	ut4	CONsub	MORPH=empty
Timotheo	Timotheus	NOMpro	Case=Dat|Numb=Sing
,	,	PUNC	MORPH=empty
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc
exhortaturus	exhortor	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Dep
erat	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
difficile	difficilis	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
certamen	certamen	NOMcom	Case=Acc|Numb=Sing
suscipiendum	suscipio	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
,	,	PUNC	MORPH=empty
seipsum	seipio	NOMcom	Case=Acc|Numb=Sing
in	in	PRE	MORPH=empty
exemplum	exemplum	NOMcom	Case=Acc|Numb=Sing
proponeret	propono	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
in	in	PRE	MORPH=empty
quo	qui1	PROrel	Case=Abl|Numb=Sing|Gend=MascNeut
summa	superus	ADJqua	Case=Nom|Numb=Sing|Gend=Fem|Deg=Sup
Dei	deus	NOMcom	Case=Gen|Numb=Sing
potentia	potentia	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
vis	uis	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
misericordia	misericordia	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
virtus	uirtus	NOMcom	Case=Nom|Numb=Sing
illuxit	illucesco	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
ne	ne4	CONsub	MORPH=empty
fatisceret	fatisco	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
aut	aut	CONcoo	MORPH=empty
expauesceret	expauesco	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Timotheus	Timotheus	NOMpro	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
Ita	ita	ADV	Deg=Pos
verò	uero3	ADV	Deg=Pos
totum	totus	PROind	Case=Acc|Numb=Sing|Gend=Neut
suum	suus	PROpos.ref	Case=Acc|Numb=Sing|Gend=MascNeut
ministerium	ministerium	NOMcom	Case=Acc|Numb=Sing
asserit	assero?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
vt	ut4	CONsub	MORPH=empty
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com
gloriam	gloria	NOMcom	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
laudem	laus	NOMcom	Case=Acc|Numb=Sing
vni	unus	ADJcar	Case=Dat|Numb=Sing|Gend=Com
Deo	deus	NOMcom	Case=Dat|Numb=Sing
vindicet	uindico	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
sibi	sui1	PROref	Case=Dat|Numb=Sing
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
bonis	bonus	NOMcom	Case=Abl|Numb=Plur
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com
operibus	opus1	NOMcom	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
aut	aut	CONcoo	MORPH=empty
præparationibus	praeparatio	NOMcom	Case=Dat|Numb=Plur
.	.	PUNC	MORPH=empty
Hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
significat	significo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Gartiam	Gartia	NOMpro	Case=Acc|Numb=Sing
habeo	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
Gratiæ	gratia	NOMcom	Case=Gen|Numb=Sing
enim	enim2	CONcoo	MORPH=empty
aguntur	ago	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
bene	bene	ADV	Deg=Pos
ficiorum	ficius	NOMcom	Case=Gen|Numb=Plur
nomine	nomen	NOMcom	Case=Abl|Numb=Sing
acceptorum	acceptum	NOMcom	Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
:	:	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
autem	autem	CONcoo	MORPH=empty
meritorum	meritum	NOMcom	Case=Gen|Numb=Plur|Gend=MascNeut
à	ab	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
aut	aut	CONcoo	MORPH=empty
operum	opus1	NOMcom	Case=Gen|Numb=Plur
collatorũ	collator	VER	Case=Abl|Numb=Plur|Gend=MascNeut
.	.	PUNC	MORPH=empty
Christo	Christus	NOMpro	Case=Dat|Numb=Sing
)	)	PUNC	MORPH=empty
Deum	deus	NOMcom	Case=Acc|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
ex	ex	PRE	MORPH=empty
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
intelligimus	intelligo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
Christum	Christus	NOMpro	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
cui	qui1	PROrel	Case=Dat|Numb=Sing|Gend=Com
et	et2	CONcoo	MORPH=empty
vocatio	uocatio	NOMpro	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
virtus	uirtus	NOMcom	Case=Nom|Numb=Sing
conferens	confero	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
dona	donum	NOMcom	Case=Acc|Numb=Plur
falutaria	falutaris	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
et	et2	CONcoo	MORPH=empty
nobis	nos	PROper	Case=Dat|Numb=Plur
necessaria	necessarius2	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
tribuitur	tribuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
2	2	ADJcar	MORPH=empty
Corinth	Corinthius	NOMpro	Case=Abl|Numb=Plur
.	.	PUNC	MORPH=empty
3	3	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
vers	uersus1	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
5	5	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
omnis	omnis	PROind	Case=Nom|Numb=Sing|Gend=Fem
nostra	noster	PROpos	Case=Nom|Numb=Sing|Gend=Fem
idoneitas	idoneitas	NOMcom	Case=Nom|Numb=Sing
ex	ex	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
Potentem	potens	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
reddidit	reddo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
)	)	PUNC	MORPH=empty
Non	non	ADVneg	MORPH=empty
dicit	dico2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
me	ego	PROper	Case=Acc|Numb=Sing
tantùm	tantum1	PROdem	MORPH=empty
iuuit	iuuo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
sustinuit	sustineo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
erexit	erigo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
:	:	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
reddidit	reddo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
potentem	potens	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
,	,	PUNC	MORPH=empty
vt	ut4	CONsub	MORPH=empty
valerem	ualeo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
:	:	PUNC	MORPH=empty
alibi	alibi	ADV	Deg=Pos
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ἱκάνωσε	[Greek]	FOR	MORPH=empty
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
robustũ	robustus	NOMcom	Case=Abl|Numb=Sing|Deg=Pos
vt	ut4	CONsub	MORPH=empty
persisterẽ	persisto	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
Ergo	ergo2	CONcoo	MORPH=empty
prorsus	prorsus2	ADV	Deg=Pos
extenuat	extenuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
deiicit	deiico	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
vires	uis	NOMcom	Case=Acc|Numb=Plur
suas	suus	PROpos.ref	Case=Acc|Numb=Plur|Gend=Fem
Paul.	paul	NOMpro	Case=Nom|Numb=Sing
quas	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Fem
se	sui1	PROref	Case=Acc|Numb=Sing
ab	ab	PRE	MORPH=empty
vno	unus	ADJcar	Case=Abl|Numb=Sing|Gend=MascNeut
Deo	deus	NOMcom	Case=Abl|Numb=Sing
fatetur	fateor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act
Neque	neque	CONcoo	MORPH=empty
hîc	hic1	PROdem	Case=Nom|Numb=Sing
de	de	PRE	MORPH=empty
prima	primus	ADJord	Case=Abl|Numb=Sing|Gend=Fem|Deg=Sup
sua	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=Fem
ad	ad2	PRE	MORPH=empty
Euangelium	euangelium	NOMpro	Case=Acc|Numb=Sing
vocatione	uocatio	NOMcom	Case=Abl|Numb=Sing
tantùm	tantum2	ADV	Deg=Pos
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
toto	totus	PROind	Case=Abl|Numb=Sing|Gend=MascNeut
ministerio	ministerium	NOMcom	Case=Abl|Numb=Sing
suo	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut
et	et2	CONcoo	MORPH=empty
Apostolatu	apostolatus	NOMcom	Case=Abl|Numb=Sing
agit	ago	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Vires	uis	NOMcom	Case=Acc|Numb=Plur
enim	enim2	CONcoo	MORPH=empty
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
nobis	nos	PROper	Case=Dat|Numb=Plur
suggeri	suggero	VER	Mood=Inf|Tense=Pres|Voice=Pass
oportet	oportet	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
vocationes	uocatio	NOMcom	Case=Acc|Numb=Plur
nostras	noster	PROpos	Case=Acc|Numb=Plur|Gend=Fem
obeundas	obeo1	VER	Case=Acc|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
.	.	PUNC	MORPH=empty
Vires	uis	NOMcom	Case=Acc|Numb=Plur
etiam	etiam	ADV	Deg=Pos
ad	ad2	PRE	MORPH=empty
perseuerandum	perseuero	VER	Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
.	.	PUNC	MORPH=empty
Vnde	unde2	ADVint	MORPH=empty
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
idem	idem	PROdem	Case=Nom|Numb=Sing|Gend=Neut
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
collocans	colloco	VER	Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
me	ego	PROper	Case=Acc|Numb=Sing
in	in	PRE	MORPH=empty
Ministerio	ministerium	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
Hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
idem	idem	PROdem	Case=Acc|Numb=Sing|Gend=Neut
de	de	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
sentire	sentio	VER	Mood=Inf|Tense=Pres|Voice=Act
debemus	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
ex	ex	PRE	MORPH=empty
animo	animus	NOMcom	Case=Abl|Numb=Sing
quidem	quidem	ADV	Deg=Pos
,	,	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
autẽ	autem	CONcoo	MORPH=empty
simulatè	simulate	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
fict	fictus	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
è	ex	PRE	MORPH=empty
:	:	PUNC	MORPH=empty
nec	nec2	CONcoo	MORPH=empty
illud	ille	PROdem	Case=Nom|Numb=Sing|Gend=Neut
Leonis	leo	NOMcom	Case=Gen|Numb=Sing
x	as	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
Pontif	pontifer	VER	Case=Gen|Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
Rom	Rom	NOMpro	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
blasphemum	blasphemo	NOMcom	Numb=Sing
vsurpare	usurpo	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
nos	nos	PROper	Case=Acc|Numb=Plur
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
vocari	uoco	VER	Mood=Inf|Tense=Pres|Voice=Pass
meritis	meritum	NOMcom	Case=Abl|Numb=Plur
licet	licet1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
imparibus	impar	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
.	.	PUNC	MORPH=empty
Fidelem	fidelis2	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
duxerit	duco	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
)	)	PUNC	MORPH=empty
Illud	ille	PROdem	Case=Acc|Numb=Sing|Gend=Neut
ducere	duco	VER	Mood=Inf|Tense=Pres|Voice=Act
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
efficere	efficio	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
Nõ	no	ADVneg	Numb=Sing
inuenit	inuenio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
enim	enim2	CONcoo	MORPH=empty
nos	nos	PROper	Case=Acc|Numb=Plur
Deus	deus	NOMcom	Case=Nom|Numb=Sing
tales	talis	PROdem	Case=Acc|Numb=Plur|Gend=MascFem
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
efficit	efficio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Nec	nec2	CONcoo	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
idcirco	idcirco	ADV	Deg=Pos
Paulum	Paulus	NOMpro	Case=Acc|Numb=Sing
vocauit	uoco	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Deus	deus	NOMcom	Case=Nom|Numb=Sing
quod	quod1	PROrel	MORPH=empty
fidelem	fidelis2	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
inuenerit	inuenio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
I	1	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
quia	quia	CONsub	MORPH=empty
erat	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
blasphemꝰ	blasphes	NOMcom	Case=Acc
2	2	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
quia	quia	CONsub	MORPH=empty
frustra	frustra	ADV	Deg=Pos
superius	superius	ADV	Case=Acc|Deg=Comp
dixisset	dico2	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
Robustũ	robustus	NOMcom	Case=Abl|Numb=Sing
me	ego	PROper	Case=Acc|Numb=Sing
fecit	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Erat	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
enim	enim2	CONcoo	MORPH=empty
dicẽdum	dico2	VER	Numb=Sing
,	,	PUNC	MORPH=empty
Robustũ	robustus	NOMcom	Case=Abl|Numb=Sing
inuenit	inuenio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
3	3	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
Deinde	deinde	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
quod	quod2	CONsub	Numb=Sing
illa	ille	PROdem	Case=Abl|Numb=Sing|Gend=Fem
fide	fides2	NOMcom	Case=Abl|Numb=Sing
litas	litus	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
idoneitas	idoneitas	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
non	non	ADVneg	MORPH=empty
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
à	ab	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
.	.	PUNC	MORPH=empty
Et	et2	CONcoo	MORPH=empty
seipsum	seipio	NOMcom	Case=Acc|Numb=Sing
superiorémque	superus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp
{superiorémque}	que	CON	MORPH=empty
sententiam	sententia	NOMcom	Case=Acc|Numb=Sing
planè	plane	ADV	Deg=Pos
euerteret	euerto	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
si	si2	CONsub	MORPH=empty
quid	quis2	PROind	Case=Acc|Numb=Sing|Gend=Neut
in	in	PRE	MORPH=empty
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
præcessisse	praecedo1	VER	Mood=Inf|Tense=Perf|Voice=Act
boni	bonus	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
oPeris	opus1	NOMcom	Case=Gen|Numb=Sing
fingamus	fingo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
propter	propter2	PRE	MORPH=empty
quod	qui1	PROrel	Numb=Sing|Gend=Neut
ipse	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Masc
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
vocatus	uoco	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
.	.	PUNC	MORPH=empty
13	3	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
Qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
prius	prius	ADJadv.ord	Deg=Comp
eram	sum1	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
blasphemus	blasphemo	VER	Numb=Plur|Person=1
et	et2	CONcoo	MORPH=empty
persequutor	persequutor	VER	Case=Nom|Numb=Sing
et	et2	CONcoo	MORPH=empty
iniuriosus	iniuriosus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
:	:	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
mei	ego	PROper	Case=Gen|Numb=Sing|Gend=Masc
misertus	misereor	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
nam	nam	CONcoo	MORPH=empty
ignorans	ignoro	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
faciebam	facio	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
fidei	fides2	NOMcom	Case=Gen|Numb=Sing
expers	expers	ADJqua	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
.	.	PUNC	MORPH=empty
Comparatio	comparatio2	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
ex	ex	PRE	MORPH=empty
qua	qui1	PROrel	Case=Abl|Numb=Sing|Gend=Fem
Dei	deus	NOMcom	Case=Gen|Numb=Sing
gratia	gratia	NOMcom	Case=Abl|Numb=Sing
maximè	magis2	ADV	Deg=Sup
amplificatur	amplifico	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
maximè	magis2	ADV	Deg=Sup
quod	quod2	CONsub	Numb=Sing
aduersarij	aduersarius1	NOMcom	Case=Nom|Numb=Plur
in	in	PRE	MORPH=empty
calumniæ	calumnia	NOMcom	Case=Gen|Numb=Sing
causam	causa	NOMcom	Case=Acc|Numb=Sing
arripiebant	arripio	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
transfert	transfero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in	in	PRE	MORPH=empty
suum	suus	PROpos.ref	Case=Acc|Numb=Sing|Gend=MascNeut
cõmodum	comodus	NOMcom	Case=Acc
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
sui	sui2	PROpos.ref	Case=Gen|Numb=Sing|Gend=MascNeut
ministerij	ministerium	NOMcom	Case=Gen|Numb=Sing
maiorem	magnus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp
commẽdationem	commedatio	NOMcom	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
Accusabant	accuso	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
igitur	igitur	CONcoo	MORPH=empty
quod	quod2	PROrel	Numb=Sing|Gend=Neut
fuisset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
antea	antea	ADV	Deg=Pos
(	(	PUNC	MORPH=empty
Blasphemus	Blasphomus	NOMpro	Case=Nom|Numb=Sing
Insectator	insectator	NOMcom	Case=Nom|Numb=Sing|Mood=Imp|Tense=Fut|Voice=Dep
(	(	PUNC	MORPH=empty
Violentus	uiolentus	ADJqua	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
Quæ	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Neut
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
concedit	concedo1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ille	ille	PROdem	Case=Nom|Numb=Sing|Gend=Masc
,	,	PUNC	MORPH=empty
quia	quia	CONsub	MORPH=empty
et	et2	CONcoo	MORPH=empty
vera	uerus	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Pos
erant	sum1	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
sic	sic	ADV	Deg=Pos
Dei	deus	NOMcom	Case=Gen|Numb=Sing
gloria	gloria	NOMcom	Case=Nom|Numb=Sing
maior	magnus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
sua	suus	PROpos.ref	Case=Nom|Numb=Sing|Gend=Fem
vocatio	uocatio	NOMcom	Case=Nom|Numb=Sing
ad	ad2	PRE	MORPH=empty
Apostolatum	apostolatus	NOMcom	Case=Acc|Numb=Sing
illustrior	illustris	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp
apparet	appareo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
Cùm	cum3	CONsub	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
talis	talis	PROdem	Case=Nom|Numb=Sing|Gend=MascFem
fucrit	fucrio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
mirum	mirus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
vocatum	uoco	VER	Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
tamen	tamen	ADV	Deg=Pos
à	ab	PRE	MORPH=empty
Deo	deus	NOMcom	Case=Abl|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
Actor	actor	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
9	9	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
13	3	ADJcar	MORPH=empty
.	.	PUNC	MORPH=empty
Nõ	no	ADVneg	Numb=Sing
loquitur	loquor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
de	de	PRE	MORPH=empty
se	sui1	PROref	Case=Abl|Numb=Sing
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing
vt	ut4	CONsub	MORPH=empty
hypocritæ	hypocrites	NOMcom	Case=Gen|Numb=Plur
,	,	PUNC	MORPH=empty
sua	suus	PROpos.ref	Case=Acc|Numb=Plur|Gend=Neut
peccata	peccatum	NOMcom	Case=Acc|Numb=Plur
minuens	minuo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
sed	sed	CONcoo	MORPH=empty
ea	is	PROdem	Case=Acc|Numb=Plur|Gend=Neut
exaggerat	exaggero1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
